date,fire_count,avg_frp
2017-11-02,0,0.0
2017-11-03,5,2.17
2017-11-04,0,0.0
2017-11-05,0,0.0
2017-11-06,0,0.0
2017-11-07,0,0.0
2017-11-08,1,3.04
2017-11-09,0,0.0
2017-11-10,3,1.3033333333333335
2017-11-11,1,0.64
2017-11-12,1,3.85
2017-11-13,0,0.0
2017-11-14,1,0.63
2017-11-15,8,3.07125
2017-11-16,0,0.0
2017-11-17,7,1.3900000000000001
2017-11-18,5,1.9259999999999997
2017-11-19,2,2.7800000000000002
2017-11-20,5,3.87
2017-11-21,3,2.0633333333333335
2017-11-22,2,2.975
2017-11-23,1,3.37
2017-11-24,0,0.0
2017-11-25,0,0.0
2017-11-26,0,0.0
2017-11-27,2,0.8400000000000001
2017-11-28,1,5.77
2017-11-29,0,0.0
2017-11-30,1,1.85
2017-12-01,3,1.21
2017-12-02,0,0.0
2017-12-03,6,0.9566666666666667
2017-12-04,2,0.9
2017-12-05,4,2.5725000000000002
2017-12-06,7,1.8642857142857143
2017-12-07,6,1.655
2017-12-08,0,0.0
2017-12-09,4,2.1725
2017-12-10,1,1.06
2017-12-11,0,0.0
2017-12-12,0,0.0
2017-12-13,3,1.96
2017-12-14,0,0.0
2017-12-15,3,1.0466666666666666
2017-12-16,0,0.0
2017-12-17,2,1.6849999999999998
2017-12-18,3,2.59
2017-12-19,6,1.5899999999999999
2017-12-20,2,1.15
2017-12-21,6,2.0016666666666665
2017-12-22,2,1.26
2017-12-23,5,1.6760000000000002
2017-12-24,5,1.3199999999999998
2017-12-25,1,0.55
2017-12-26,0,0.0
2017-12-27,0,0.0
2017-12-28,0,0.0
2017-12-29,1,0.96
2017-12-30,0,0.0
2017-12-31,2,1.1
2018-01-01,0,0.0
2018-01-02,0,0.0
2018-01-03,4,1.305
2018-01-04,0,0.0
2018-01-05,1,1.1
2018-01-06,0,0.0
2018-01-07,0,0.0
2018-01-08,0,0.0
2018-01-09,0,0.0
2018-01-10,0,0.0
2018-01-11,0,0.0
2018-01-12,1,2.84
2018-01-13,6,1.7683333333333333
2018-01-14,4,1.37
2018-01-15,0,0.0
2018-01-16,0,0.0
2018-01-17,0,0.0
2018-01-18,6,2.0433333333333334
2018-01-19,8,2.4137500000000003
2018-01-20,3,1.3833333333333335
2018-01-21,1,3.13
2018-01-22,4,1.385
2018-01-23,5,2.876
2018-01-24,3,2.146666666666667
2018-01-25,0,0.0
2018-01-26,0,0.0
2018-01-27,0,0.0
2018-01-28,0,0.0
2018-01-29,2,1.11
2018-01-30,1,0.42
2018-01-31,0,0.0
2018-02-01,0,0.0
2018-02-02,0,0.0
2018-02-03,0,0.0
2018-02-04,3,1.7866666666666668
2018-02-05,0,0.0
2018-02-06,0,0.0
2018-02-07,0,0.0
2018-02-08,6,1.3299999999999998
2018-02-09,0,0.0
2018-02-10,2,1.075
2018-02-11,3,3.86
2018-02-12,1,5.18
2018-02-13,0,0.0
2018-02-14,4,1.4825
2018-02-15,5,1.1119999999999999
2018-02-16,3,1.3733333333333333
2018-02-17,5,3.532
2018-02-18,0,0.0
2018-02-19,0,0.0
2018-02-20,8,3.685
2018-02-21,0,0.0
2018-02-22,0,0.0
2018-02-23,0,0.0
2018-02-24,0,0.0
2018-02-25,0,0.0
2018-02-26,0,0.0
2018-02-27,0,0.0
2018-02-28,0,0.0
2018-03-01,0,0.0
2018-03-02,0,0.0
2018-03-03,4,1.995
2018-03-04,0,0.0
2018-03-05,0,0.0
2018-03-06,0,0.0
2018-03-07,0,0.0
2018-03-08,8,1.7912500000000002
2018-03-09,0,0.0
2018-03-10,0,0.0
2018-03-11,0,0.0
2018-03-12,0,0.0
2018-03-13,1,2.31
2018-03-14,4,1.7
2018-03-15,0,0.0
2018-03-16,6,4.821666666666666
2018-03-17,0,0.0
2018-03-18,0,0.0
2018-03-19,0,0.0
2018-03-20,0,0.0
2018-03-21,1,1.79
2018-03-22,11,2.7736363636363635
2018-03-23,9,2.5344444444444445
2018-03-24,3,1.3266666666666667
2018-03-25,0,0.0
2018-03-26,7,1.7442857142857144
2018-03-27,8,7.44625
2018-03-28,10,2.532
2018-03-29,0,0.0
2018-03-30,0,0.0
2018-03-31,1,1.48
2018-04-01,13,2.523076923076923
2018-04-02,1,0.59
2018-04-03,0,0.0
2018-04-04,0,0.0
2018-04-05,1,1.3
2018-04-06,9,3.672222222222222
2018-04-07,11,1.261818181818182
2018-04-08,4,1.8675000000000002
2018-04-09,0,0.0
2018-04-10,0,0.0
2018-04-11,4,0.9550000000000001
2018-04-12,0,0.0
2018-04-13,2,3.54
2018-04-14,2,1.7550000000000001
2018-04-15,0,0.0
2018-04-16,6,2.0833333333333335
2018-04-17,12,1.8158333333333332
2018-04-18,13,3.1223076923076927
2018-04-19,15,1.7846666666666666
2018-04-20,12,1.2683333333333333
2018-04-21,6,1.8283333333333334
2018-04-22,9,3.6422222222222222
2018-04-23,15,3.102
2018-04-24,9,3.19
2018-04-25,8,0.90625
2018-04-26,8,1.6225
2018-04-27,5,2.0460000000000003
2018-04-28,22,1.7127272727272727
2018-04-29,0,0.0
2018-04-30,3,4.433333333333334
2018-05-01,8,2.3875
2018-05-02,0,0.0
2018-05-03,0,0.0
2018-05-04,2,3.5749999999999997
2018-05-05,1,0.85
2018-05-06,6,4.786666666666666
2018-05-07,2,1.625
2018-05-08,4,2.88
2018-05-09,1,5.48
2018-05-10,0,0.0
2018-05-11,3,5.206666666666666
2018-05-12,4,1.8199999999999998
2018-05-13,8,1.6175
2018-05-14,0,0.0
2018-05-15,0,0.0
2018-05-16,1,2.35
2018-05-17,0,0.0
2018-05-18,13,1.7461538461538462
2018-05-19,9,3.761111111111111
